,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
969,Johann Sebastian Bach,"French Suite No. 5 in G, BWV 816: 4. Gavotte",53kn6mrsGma0Dg0MHSXb3W,10,0.438,0.152,7,-25.474,1,0.0521,0.994,0.885,0.162,0.839,65.404,74027,4
0,J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,87,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,4
2,The Walters,I Love You So,4SqWKzw0CbA05TGszDgMlc,88,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,160240,4
3,Steve Harley,Make Me Smile (Come up and See Me) - 2014 Remaster,2dpO3NteNWUDL2S9e0t0Mi,62,0.571,0.818,0,-8.277,1,0.0337,0.00706,0.000181,0.0877,0.773,141.464,239213,4
4,J. Cole,Wet Dreamz,4tqcoej1zPvwePZCzuAjJd,83,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267,4
5,Menimore,Year 2014,3dLtxF2jJ1eG5eDWUep2Oy,0,0.783,0.606,0,-8.192,1,0.0766,0.0501,0.887,0.111,0.344,134.928,220200,4
6,Mr.Kitty,After Dark,2LKOHdMsL0K9KwcPRlJK2v,85,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,259147,4
7,Monstercat,Best of 2014 Album Mix (Part 1),0chMAyeIxvV0OqsvgLcZtL,34,0.426,0.915,11,-3.881,0,0.143,0.000899,0.108,0.495,0.271,130.405,3374468,4
8,Vance Joy,Riptide,3JvrhDOgAt6p7K8mDyZwRd,80,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4
10,OneRepublic,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,78,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,257840,4
11,Mike & The Mechanics,The Living Years - 2014 Remastered,5KnTfINZimBcMmBOwKCe1n,30,0.521,0.459,8,-10.415,1,0.0312,0.645,0.0,0.0903,0.27,97.858,324267,4
12,Mac DeMarco,Chamber Of Reflection,7H7NyZ3G075GqPx2evsfeb,80,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,231724,4
13,Anthem Lights,Best of 2014: Problem / Boom Clap / Rude / Am I Wrong / All About That Bass / All of Me / Chandelier / Blank Space / Not a Bad Thing / Happy,3mImyoTCyYiDDaqTshw5HU,34,0.415,0.519,7,-5.494,1,0.0324,0.744,0.0,0.321,0.506,120.957,203687,4
14,WALK THE MOON,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,83,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,4
15,Andrew Peterson,Isn't It Love - 2014 Version,04Lw9ot3N6m7o4Z02JdwCx,33,0.492,0.338,2,-11.799,1,0.0298,0.448,0.000189,0.12,0.135,107.85,279373,4
16,Taylor Swift,Blank Space,1p80LdxRV74UKvL8gnD7ky,75,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,231827,4
17,Go Stereo,Best Of 2014 Pop Mashup,7JVusweF88haUYekrKiJvA,41,0.388,0.848,4,-6.67,1,0.0748,0.00487,0.0,0.1,0.527,124.996,330815,4
18,One Direction,Night Changes,5O2P9iiztwhomNh8xkR9lJ,87,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600,4
19,Pantera,25 Years - 2014 Remaster,38A47mTFHWoAzWmxK3ioge,28,0.374,0.976,9,-3.815,1,0.11,0.000115,0.0423,0.139,0.551,123.765,365907,4
20,Paloma Faith,Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8,87,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,232893,4
21,Monstercat,Best of 2014 Album Mix (Part 2),36aRuvh1hMQBQZf5Gh864c,16,0.428,0.776,10,-4.809,0,0.0913,0.00752,0.00217,0.392,0.264,127.986,3262130,4
22,Hozier,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,76,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241693,4
23,William Elliott Whitmore,One Man's Shame,1Bd0OoAaMAEo6PIIJRTmKw,32,0.865,0.237,7,-8.164,0,0.0626,0.912,1.79e-06,0.0945,0.463,129.804,263480,4
24,TV Girl,Lovers Rock,6dBUzqjtbnIa1TwYbyw5CM,79,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,213920,4
25,mysticolu,2014,7thU2r1KOPMN6e6dWWpJsp,12,0.542,0.752,5,-10.722,1,0.041,0.000717,0.704,0.268,0.124,128.007,150071,4
26,Pitbull,Time of Our Lives,2bJvI42r8EF3wxjOuDav4r,81,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,229360,4
27,Pegboard Nerds,Hero,57EbJbYiOQggoY5EWvtgba,25,0.436,0.922,11,-3.279,0,0.0627,0.00374,0.000413,0.253,0.0928,150.151,330400,4
28,ScHoolboy Q,Collard Greens,0zO8ctW0UiuOefR87OeJOZ,78,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-06,0.205,0.65,153.954,299960,4
29,Dimitri Vegas & Like Mike,Ocarina (Brennan Heart Remix) - Edit,6nYqZrD08ljUxFRjoKqADX,46,0.26,0.972,0,-2.242,0,0.0656,0.0506,0.332,0.0946,0.104,149.493,169195,4
30,Maroon 5,Maps,4gbVRS8gloEluzf0GzDOFc,82,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032,189960,4
31,Aloe Blacc X David Correy,The World Is Ours (Coca-Cola 2014 World's Cup Anthem),48exuAFuDV7w2nkIhAOtEy,31,0.528,0.903,2,-3.935,1,0.0527,0.197,0.0,0.117,0.665,132.024,174880,4
32,Taylor Swift,Style,4lIxdJw6W3Fg4vUIYCB0S5,74,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,231000,4
33,Andrew Peterson,After the Last Tear Falls - 2014 Version,1xTyQ9qE4xFnNxTpjTMTO9,25,0.578,0.68,4,-6.382,1,0.0257,0.00125,0.000841,0.0927,0.228,104.981,273080,4
34,American Authors,Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,80,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240,4
35,Joey Pecoraro,Year 2444,52lQqbiohjKjNlFDJW9tdk,21,0.61,0.311,1,-11.153,0,0.085,0.888,0.909,0.105,0.399,80.973,142222,4
36,Milky Chance,Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,74,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684,4
37,Andrew Peterson,Faith to Be Strong - 2014 Version,1wTfWD7cPnA0JXCrUHz9fX,25,0.406,0.295,4,-14.203,1,0.0349,0.793,0.0,0.0863,0.435,116.387,220840,3
38,Calvin Harris,Summer,6YUTL4dYpB9xZO5qExPf05,84,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533,4
39,Santana,Dar um Jeito (We Will Find a Way) [The Official 2014 FIFA World Cup Anthem] (feat. Avicii & Alexandre Pires),2bVuEM38dpbjWFDmNdaT4c,34,0.55,0.956,5,-4.175,0,0.196,0.0251,0.000646,0.332,0.42,128.001,228320,4
40,Taylor Swift,Shake It Off,5xTtaWoae3wi06K5WfVUUH,74,0.647,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.015,219200,4
41,Andrew Peterson,Holy Is the Lord - 2014 Version,77fZo3nQoye29FVUJH4KJp,25,0.508,0.224,2,-13.529,1,0.0301,0.6,7.35e-05,0.0732,0.459,73.853,208467,3
42,Mitski,First Love / Late Spring,3sslYZcFKtUvIEWN9lADgr,79,0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,278640,4
43,Dj Madnes,Beat 2014,2FK3WI6jeqwvw2MzeuKcrb,11,0.887,0.454,2,-13.355,1,0.0919,1.89e-05,0.821,0.112,0.473,97.028,195973,4
44,Avicii,The Nights,0ct6r3EGTcMLPtrXHDvVjc,85,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,176658,4
45,Piano Dreamers,Classic,2K1NltDzVC6Ysl40yYePNn,25,0.586,0.232,10,-17.605,0,0.0474,0.968,0.901,0.0906,0.646,101.996,157267,4
46,Taylor Swift,Wildest Dreams,59HjlYCeBsxdI0fcm3zglw,73,0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056,220440,4
47,William Elliott Whitmore,Diggin' my Grave,5n8g08knh3A7mlGCueI1OR,31,0.682,0.519,9,-7.75,1,0.0639,0.773,0.0,0.136,0.522,135.904,251853,4
48,Lana Del Rey,Brooklyn Baby,1NZs6n6hl8UuMaX0UC0YTz,81,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,351640,4
50,Kenny Chesney,American Kids,1dgWTMoHwTUnQhOQ8SR5fV,73,0.782,0.589,0,-7.37,1,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022,182960,4
51,Andrew Peterson,The Silence of God - 2014 Version,63yPL9q0AkXl2viQ6HTyRb,20,0.573,0.238,2,-14.476,1,0.0413,0.468,0.0,0.126,0.344,125.983,229960,4
52,5 Seconds of Summer,She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,73,0.494,0.951,9,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025,202496,4
53,Armin van Buuren,Hystereo,6lUP6ymtNDw8auQRAmlHL5,16,0.551,0.919,0,-6.019,1,0.0408,0.00016,0.631,0.446,0.322,131.994,161897,4
54,Sam Smith,I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,83,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,239317,4
55,deadmau5,Strobe - Michael Woods 2014 Remix,04zMbsnom1lK2IHJhCjW9j,20,0.49,0.945,8,-3.741,0,0.327,0.000881,0.106,0.626,0.222,126.0,431935,4
56,Cody Johnson,Me and My Kind,4rW9EUFaMSNVY8JhbqrB6z,72,0.588,0.807,2,-3.426,1,0.0283,0.0835,0.0,0.109,0.674,110.014,156200,4
57,Charts Hits 2014,Prayer in C,69PvMZUWhkbbKdRVsU4YOv,36,0.743,0.872,0,-6.428,1,0.0314,0.0329,5.44e-06,0.152,0.942,123.0,192748,4
58,Maroon 5,Sugar,2iuZJX9X9P0GKaE93xcPjk,81,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,4
59,Rogue,Motion - 2014,6dueHEeoj9L8Nb8aJ918Sa,22,0.547,0.892,4,-4.663,0,0.052,0.00493,0.000478,0.165,0.387,152.967,238431,4
60,Michael Jackson,Chicago,5BKKy9fIJL5uM9fz1SnqyP,76,0.608,0.756,7,-2.675,0,0.176,0.0784,0.0,0.187,0.55,176.086,245507,4
61,Piano Dreamers,Blank Space,6LHlWBUW1ydmyRkmh4YImY,26,0.655,0.302,5,-17.483,1,0.05,0.99,0.946,0.149,0.257,95.989,242493,4
62,Sam Hunt,House Party,1TwLKNsCnhi1HxbIi4bAW0,73,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.859,103.966,190240,4
63,Nitro Fun,Easter Egg - 2014,4f28O1tOHmMCRnJdO36z2a,21,0.814,0.766,6,-3.625,0,0.148,0.00192,0.749,0.531,0.608,127.968,204375,4
64,Mitski,Francis Forever,5411TEB6tlzvuF5A4oyldr,77,0.535,0.448,2,-9.167,1,0.0279,0.00262,1.94e-05,0.115,0.32,101.986,149680,4
65,Michael Mk.,Stolen Dance,5av0fJkTpmJtdgHVqR1YPb,38,0.809,0.511,11,-9.202,1,0.0492,0.138,4.68e-06,0.0997,0.496,114.037,269491,4
66,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,77,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97,242983,4
67,Andrew Peterson,No More Faith - 2014 Version,4PmHkAbHAIE0xqxIEyalEB,16,0.374,0.612,10,-7.09,1,0.0358,0.0253,0.0,0.109,0.365,165.861,254960,4
68,Young Money,Trophies,6HfOzLLjsaXsehIFEsrxTk,74,0.746,0.687,1,-7.475,1,0.382,0.155,0.0,0.137,0.283,143.931,188320,4
69,Piano Dreamers,Maps,2SGrefVFelE0IWM3COv87n,20,0.656,0.364,1,-18.799,0,0.0544,0.99,0.928,0.0907,0.206,120.019,195840,4
70,Tove Lo,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,73,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,209160,4
71,Mac Dre,And What Is Ya Name - 2014 Mix,6yAlXZOhUfmEzpfL7UwIS0,15,0.508,0.707,9,-5.373,0,0.342,0.694,0.0,0.108,0.543,95.917,266293,4
72,Sam Smith,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,81,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724,4
74,Pharrell Williams,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,81,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,232720,4
75,William Elliott Whitmore,Take It on the Chin,7hgIVl62rUttcl21qepMi2,20,0.588,0.453,0,-7.659,1,0.0522,0.8,0.0,0.066,0.778,152.199,149053,4
76,Ariana Grande,One Last Time,7xoUc6faLbCqZO6fQEYprd,81,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4
78,J. Cole,Love Yourz,2e3Ea0o24lReQFR4FA7yXH,74,0.677,0.638,8,-8.631,1,0.333,0.589,0.0,0.193,0.435,82.81,211497,4
79,Years & Years,Real - Radio Edit,05jjQt52Ds3LVpj3wFbtSA,16,0.755,0.623,0,-7.471,1,0.0646,0.0928,1.68e-05,0.241,0.748,114.009,211579,4
80,AURORA,Runaway,0TCmhnbMpw5zwPsTvlXTJi,74,0.521,0.277,11,-10.34,1,0.0356,0.634,7.07e-05,0.103,0.13,115.01,248827,4
81,atlantis,Maps - Remix,6C6Uj6ld7RvmD8AldStH6v,13,0.733,0.8,1,-4.908,0,0.0374,0.00186,0.0,0.0593,0.699,128.001,257875,4
82,Nicki Minaj,Only,4MRT0dDbhqFKl67WzhUbSw,71,0.573,0.495,8,-7.245,0,0.592,0.405,0.0,0.0969,0.255,179.196,312027,3
83,Andrew Peterson,High Noon - Live; 2014 Version,3lJMXpzNcyXwVHmLd1JkZ7,14,0.502,0.749,0,-6.772,1,0.0438,0.0182,2.19e-05,0.947,0.33,101.996,269133,4
84,MAGIC!,Rude,6RtPijgfPKROxEzTHNRiDp,81,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,224840,4
85,Charts Hits 2014,Waves,7iOCiH1828Fdw0bLYsrE9i,14,0.74,0.761,5,-6.775,0,0.0311,0.128,4.4e-05,0.386,0.629,119.996,209309,4
86,Maroon 5,Animals,2bL2gyO6kBdLkNSkxXNh6x,80,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013,4
87,Andrew Peterson,Nothing to Say - 2014 Version,5bsBnz3jrt2K33h6ISaSWR,13,0.523,0.543,2,-7.895,1,0.0272,0.0102,0.0,0.165,0.187,86.994,280707,4
88,Dierks Bentley,Drunk On A Plane,1soxUgYIZb1qx1c7o1Lc7z,71,0.423,0.73,9,-5.566,1,0.032,0.00495,1.13e-05,0.238,0.66,205.972,254467,4
90,J. Cole,G.O.M.D,0Thqjtu54vKMP06pwZkAWp,73,0.889,0.4,4,-10.586,0,0.26,0.322,1.32e-05,0.331,0.336,128.073,301064,4
91,William Elliott Whitmore,Dry,62LAjU7BeNGOHR95TMSj8y,18,0.528,0.284,5,-8.999,1,0.0473,0.878,0.0,0.0639,0.421,171.065,215200,4
92,Coldplay,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,82,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,4
93,KILLEDDY,2084 IS GONNA BE MY YEAR,5ADNTxaOd4TDxaFVkQTMPt,18,0.501,0.909,10,-5.422,0,0.677,0.134,0.000289,0.342,0.459,169.973,165118,4
94,Jessie J,Bang Bang,0puf9yIluy9W0vpMEUoAnN,79,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,199387,4
95,William Elliott Whitmore,Midnight,0Q9AHA7wMUJmFYzCpnzJAL,17,0.697,0.519,2,-6.978,1,0.0383,0.853,1.43e-06,0.263,0.8,88.917,200520,4
96,One Direction,Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,80,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,228133,4
97,Tha Alkaholiks,2014,43ElLw3VeNUK9mghk9uer3,19,0.715,0.824,6,-4.733,1,0.244,0.0241,5.43e-06,0.0845,0.59,93.983,193507,4
98,Rixton,Me And My Broken Heart,1oew3nFNY3vMacJAsvry0S,77,0.545,0.783,5,-4.261,0,0.0345,0.00489,0.0,0.132,0.551,174.084,193733,4
99,Agonoize,Koprolalie,4es4NOPlk0gExlzaT15CBr,32,0.575,0.899,7,-7.077,1,0.0319,0.0218,0.348,0.116,0.719,139.983,290707,4
100,George Ezra,Budapest,2ixsaeFioXJmMgkkbd4uj1,79,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,200733,4
101,Cherub,Doses & Mimosas,44CZRkOxv7UItaAUmh8PgN,70,0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,323253,4
102,Paul Carrack,The Living Years - 2014 Remaster,6FlCprj6CqHE3wdA5lTpf0,23,0.454,0.367,8,-10.216,1,0.0409,0.472,0.0,0.112,0.0395,98.28,320240,4
103,Becky G,Shower,3DmW6y7wTEYHJZlLo1r6XJ,78,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167,4
104,Matthew Rix,2014 Was a Terrible Year,33p3Mx2maJeDTMXhRX4y4C,8,0.732,0.324,7,-12.618,1,0.593,0.857,0.0,0.282,0.823,113.743,68615,4
105,Ed Sheeran,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,83,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4
106,Choir Of Young Believers,"Hollow Talk - Lane8, Jody Wisternoff & James Grant Remix",5vHM7fc5GGOUZcRkzJGX8l,21,0.69,0.53,2,-8.54,0,0.0333,0.00038,0.604,0.14,0.107,120.001,532066,4
107,Bobby Shmurda,Hot N*gga,19gEmPjfqSZT0ulDRfjl0m,73,0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,194561,4
108,Piano Project,Rather Be,35o0QtttyNN8XQpqm3D7jI,13,0.623,0.213,11,-19.927,1,0.0453,0.969,0.897,0.122,0.817,123.011,228082,4
109,James Bay,Let It Go,13HVjjWUZFaWilh2QUJKsP,70,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,260533,4
110,BONES,HDMI,7I4ibsZgwuf46g0xHuTC8s,77,0.713,0.29,7,-16.365,1,0.0647,0.686,0.807,0.318,0.121,124.941,139440,4
111,Slipknot,Custer,3GiJq4AQK7324mfIQbpiTf,75,0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,254467,4
112,Celebration Collective,Lady Marmalade,7yC6N4UTrM2lxKgL6Tgewn,18,0.758,0.424,0,-9.936,1,0.0398,0.00123,0.0,0.268,0.607,109.928,265341,4
113,Ed Sheeran,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,84,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
114,Sam Smith,Like I Can,2TeLIzFBe3hxkPR5FIQZut,79,0.656,0.627,7,-6.627,0,0.0379,0.343,2.17e-05,0.124,0.481,99.933,167066,4
115,Wilco,One Hundred Years from Now,3tvipK9OuE0j05BTRlE5EM,13,0.546,0.924,0,-5.246,1,0.0538,0.00841,0.000184,0.389,0.823,117.612,170467,4
116,Andy Grammer,"Honey, I'm Good.",4MflGTO2ZTcSQ12bWcyRgI,73,0.752,0.775,9,-7.289,1,0.0546,0.0324,0.0,0.351,0.595,122.014,199263,4
117,Hozier,Like Real People Do,57V4uc2b2diZ4RPHXWecb9,69,0.539,0.179,7,-14.33,1,0.0309,0.921,0.393,0.106,0.145,140.01,198027,3
118,Commercial Club Crew,My Sound - Scoon & Delore Remix Edit 2014,1a12e8KR7QTjacNJCabMlf,31,0.488,0.934,0,-5.085,1,0.0563,0.00344,0.00706,0.373,0.367,144.001,197930,4
119,OneRepublic,I Lived,7D49Iig0avHre9RFSUMkd2,70,0.599,0.854,9,-5.429,1,0.0436,0.0746,0.0,0.278,0.311,119.986,234547,4
120,yeahCALEB,2014,7xa5iNV9XYMQ5xZin35V9p,0,0.739,0.64,8,-11.999,1,0.162,0.0416,0.0,0.165,0.244,84.093,128571,4
121,Xavier Wulf,Psycho Pass,3kZAm2TC74lBJFPDoV40Qc,71,0.973,0.446,3,-9.355,0,0.0612,0.0303,1.75e-05,0.121,0.265,115.039,135340,4
122,Percussions,January 2014,6OEOetHBW6sR33LzYpoAqD,9,0.697,0.627,0,-11.334,1,0.053,0.0884,0.672,0.0779,0.55,126.004,342976,1
123,Nico & Vinz,Am I Wrong,1fidCEsYlaVE3pHwKCvpFZ,79,0.729,0.675,8,-6.003,1,0.0312,0.175,1.58e-06,0.55,0.779,119.968,245867,4
124,William Elliott Whitmore,Gravel Road,4QXwTez2KZz4xlQoD2irHy,14,0.706,0.313,9,-7.799,1,0.0378,0.902,0.0,0.0848,0.399,88.875,234253,4
125,Ariana Grande,Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn,77,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133,4
126,Otmar Eros,"Year 2016:, Pt. 3",3S46mecgkRwH4nOuJeBtWj,11,0.333,0.105,0,-23.782,1,0.0788,0.996,0.943,0.0726,0.0291,69.175,90645,4
127,Sam Hunt,Break Up In A Small Town,7aftSOGSOpSoIlVAQVBb71,70,0.579,0.776,8,-5.365,1,0.173,0.0749,0.0,0.239,0.434,136.044,229880,4
128,Agonoize,Bis das Blut gefriert,4tbDak1goesgKYowBFSQHr,29,0.528,0.996,6,-5.268,0,0.0615,5.69e-05,0.0175,0.386,0.208,139.992,283686,4
129,Lana Del Rey,The Other Woman,1KuVEZR4xuQVNr1KkanAV4,76,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,181960,4
130,Piano Dreamers,Fancy,4HTUG4l1sIW2VjpxKar6DX,11,0.648,0.312,7,-15.324,0,0.0448,0.991,0.916,0.0954,0.305,95.01,142160,4
131,alt-J,Left Hand Free,4iEOVEULZRvmzYSZY2ViKN,69,0.697,0.877,3,-4.465,1,0.0462,0.462,0.00943,0.083,0.802,101.99,173631,4
132,William Elliott Whitmore,Our Paths Will Cross Again,0JH8KlnL9f8JpsiFazQkSl,15,0.736,0.479,4,-8.041,1,0.0441,0.804,0.0,0.103,0.834,99.169,176467,4
134,Cimorelli,Rather Be,2xxWas5q2WdeNTl6jB34W9,6,0.627,0.476,11,-12.07,1,0.0655,0.0637,0.0,0.162,0.631,120.881,189094,4
135,The Vamps,Somebody To You,2BWWsCwuHAZFE1scLyP6Qe,69,0.559,0.849,3,-4.676,1,0.0454,0.0854,0.0,0.328,0.759,86.978,182827,4
136,Tori Amos,Silent All These Years - Live From Spotify NYC,2bsusPigHUltWblEvbfa2Y,14,0.522,0.419,4,-12.088,1,0.287,0.91,1.31e-06,0.702,0.498,121.308,306024,4
137,Glass Animals,Gooey,1gk3FhAV07q9Jg77UxnVjX,71,0.487,0.369,11,-13.424,0,0.0406,0.736,3.75e-05,0.0925,0.106,183.114,289307,4
138,Charts Hits 2014,Riptide,4Lf3eawIKdWUaFOGkhLmh6,12,0.675,0.752,1,-6.598,1,0.0708,0.542,1.19e-06,0.104,0.303,97.981,211171,4
139,ScHoolboy Q,Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,71,0.749,0.865,3,-5.228,1,0.0413,0.00536,0.0,0.198,0.371,111.914,216013,4
140,Romeo Santos,Eres Mía,6I86RF3odBlcuZA9Vfjzeq,75,0.843,0.729,6,-3.634,0,0.0374,0.401,1.2e-06,0.206,0.903,123.046,250640,4
141,Michael Mk.,Stolen Dance - Dance Remix,2Qu51uWqanZZu7s9LkoBx0,22,0.668,0.61,11,-9.812,1,0.0391,0.0303,0.00017,0.364,0.162,124.001,249776,4
142,Hozier,Someone New,2DNXgvkyv35vTWvdgjs7qn,69,0.443,0.533,7,-5.956,1,0.0473,0.429,3.66e-06,0.332,0.596,183.791,222813,4
143,William Elliott Whitmore,The Chariot,4Dj9RWs9HOEIhQf9cgoopg,14,0.554,0.499,2,-7.292,1,0.0296,0.607,0.0137,0.0991,0.422,129.751,200440,3
144,Childish Gambino,Sober,5NhlpQ6BOIz3S5welptk1W,71,0.707,0.562,0,-7.621,1,0.0305,0.124,1.58e-05,0.561,0.418,98.094,252026,4
145,The Texas Tenors,Danny Boy (Live 2014),3auQJApY5r3GZoTzDno6ZZ,9,0.286,0.0856,3,-18.075,1,0.0341,0.953,0.0,0.109,0.179,78.618,107248,3
146,J. Cole,Apparently,5O59s7bCgTFsXDXlWecyQ1,70,0.802,0.544,5,-9.212,1,0.0686,0.605,0.0,0.102,0.57,133.992,292865,4
148,One Direction,18,3JjnGLK8IxkNLvo8Lb3KOM,77,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,248360,4
149,Mcboy,Turn Down for What - Remix,1dsoHfmidcuZeOtKsDAKbU,19,0.798,0.725,4,-6.848,1,0.0454,0.0093,0.0584,0.282,0.157,100.023,213707,4
150,Little Big Town,Girl Crush,11qh54D0PKkBwelpDxxiEU,69,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788,193320,3
151,Cimorelli,Boom Clap,6TmMhTpNyOlGxKf1p5EdQy,11,0.697,0.669,4,-5.79,1,0.0571,0.276,0.0,0.583,0.395,91.976,177348,4
152,Tove Lo,Talking Body,2tpfxAXiI52znho4WE3XFA,68,0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,119.999,238427,4
153,William Elliott Whitmore,Sorest of Eyes,0cngLS2QLdzGYxU4RvOFEf,12,0.734,0.304,2,-8.689,1,0.0298,0.919,0.0,0.0801,0.54,106.145,211107,3
154,Frankie Ballard,Sunshine & Whiskey,6aNwDe5YH5YUPlpHkku52w,68,0.67,0.737,9,-6.794,1,0.0434,0.223,0.0,0.325,0.754,92.983,182400,4
155,Monoverse,Fraction - Radio Edit,6KnUa3pAu56bJm9M42eqjF,4,0.547,0.827,9,-7.123,0,0.036,0.000897,0.903,0.0913,0.0946,130.01,228893,4
156,Ariana Grande,Problem,7vS3Y0IKjde7Xg85LWIEdP,75,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.008,193920,4
